"Number pokemon 1","Number pokemon 2","Attack pokemon 2","Defense pokemon 2","Generation pokemon 2","HP pokemon 2","Legendary pokemon 2","Name pokemon 2","Sp. Atk pokemon 2","Sp. Def pokemon 2","Speed pokemon 2","Type 1 pokemon 2","Type 2 pokemon 2","Winning pokemon"
226,471,83,68,4,111,False,Gastrodon,92,82,39,Water,Ground,471
55,259,63,37,2,45,False,Elekid,65,55,95,Electric,,259
146,668,75,75,5,75,False,Beheeyem,125,95,40,Psychic,,146
318,347,73,83,3,100,False,Swalot,73,83,55,Poison,,347
472,661,55,70,5,40,False,Klink,45,60,30,Steel,,472
546,224,85,200,2,75,False,Steelix,55,65,30,Steel,Ground,546
676,665,85,70,5,65,False,Eelektrik,75,70,40,Electric,,676
381,272,100,100,2,100,False,Celebi,100,100,100,Psychic,Grass,272
102,192,50,45,2,40,False,Natu,70,45,70,Psychic,Flying,102
765,463,30,42,4,30,False,Combee,30,42,70,Bug,Flying,463
302,228,95,75,2,65,False,Qwilfish,55,55,85,Water,Poison,228
778,373,78,73,3,110,False,Whiscash,76,71,60,Water,Ground,778
60,18,25,50,1,45,False,Kakuna,25,25,35,Bug,Poison,60
102,493,90,65,4,68,False,Gabite,50,55,82,Dragon,Ground,102
692,383,60,79,3,95,False,Milotic,100,125,81,Water,,383
110,388,165,75,3,64,False,"Mega Banette",93,83,75,Ghost,,388
30,241,55,85,2,55,False,Corsola,65,85,35,Water,Rock,30
272,774,50,150,6,50,False,Carbink,50,150,50,Rock,Fairy,272
22,700,90,129,5,91,True,Cobalion,90,72,108,Steel,Fighting,700
83,582,60,32,5,45,False,Blitzle,50,32,76,Electric,,582
6,224,85,200,2,75,False,Steelix,55,65,30,Steel,Ground,6
784,177,76,64,2,85,False,Furret,45,55,90,Normal,,177
136,308,30,32,3,40,False,Surskit,50,52,65,Bug,Water,136
10,630,50,62,5,50,False,Trubbish,40,62,65,Poison,,630
755,574,98,63,5,75,False,Simisear,98,63,101,Fire,,574
463,636,30,50,5,45,False,Gothita,55,65,45,Psychic,,463
190,244,55,45,2,45,False,Delibird,65,45,75,Ice,Flying,244
619,654,40,50,5,55,False,Frillish,65,85,40,Water,Ghost,619
80,295,50,50,3,60,False,Lombre,60,70,50,Water,Grass,80
38,485,24,86,4,57,False,Bronzor,24,86,23,Steel,Psychic,485
286,309,60,62,3,70,False,Masquerain,80,82,60,Bug,Flying,286
700,230,150,140,2,70,False,"Mega Scizor",65,100,75,Bug,Steel,700
764,712,170,100,5,125,True,"Kyurem Black Kyurem",120,90,95,Dragon,Ice,712
457,318,51,23,3,64,False,Whismur,51,23,28,Normal,,457
411,482,30,50,4,45,False,Chingling,65,50,45,Psychic,,482
279,14,30,35,1,45,False,Caterpie,20,20,45,Bug,,279
193,347,73,83,3,100,False,Swalot,73,83,55,Poison,,193
781,225,125,230,2,75,False,"Mega Steelix",55,95,30,Steel,Ground,781
109,223,75,105,2,65,False,Gligar,35,65,85,Ground,Flying,223
450,110,50,70,1,60,False,Electrode,80,80,140,Electric,,110
774,118,65,95,1,40,False,Koffing,60,45,35,Poison,,774
351,587,45,43,5,55,False,Woobat,55,43,72,Psychic,Flying,587
706,492,70,45,4,58,False,Gible,40,45,42,Dragon,Ground,706
72,229,130,100,2,70,False,Scizor,55,80,65,Bug,Steel,229
696,31,55,40,1,35,False,Pikachu,50,50,90,Electric,,31
536,304,25,25,3,28,False,Ralts,45,35,40,Psychic,Fairy,536
15,774,50,150,6,50,False,Carbink,50,150,50,Rock,Fairy,774
310,407,75,60,3,45,False,Bagon,40,30,50,Dragon,,407
554,436,58,44,4,44,False,Chimchar,58,44,61,Fire,,554
270,364,115,60,3,70,False,Cacturne,115,60,55,Grass,Dark,270
399,548,80,80,4,80,False,Phione,80,80,80,Water,,548
538,413,135,130,3,80,False,Metagross,95,90,70,Steel,Psychic,538
566,47,45,35,1,40,False,Zubat,30,40,55,Poison,Flying,47
534,197,95,105,2,90,False,"Mega Ampharos",165,110,45,Electric,Dragon,534
84,604,45,59,5,30,False,Venipede,30,39,57,Bug,Poison,84
573,575,53,48,5,50,False,Panpour,53,48,64,Water,,575
26,259,63,37,2,45,False,Elekid,65,55,95,Electric,,26
227,420,90,80,3,80,True,Latios,130,110,110,Dragon,Psychic,227
548,614,117,80,5,95,False,Krookodile,65,70,92,Ground,Dark,614
80,598,95,75,5,105,False,Seismitoad,85,75,74,Water,Ground,80
500,696,85,70,5,72,False,Zweilous,65,70,58,Dark,Dragon,696
88,512,132,105,4,90,False,"Mega Abomasnow",132,105,30,Grass,Ice,512
284,365,40,60,3,45,False,Swablu,40,75,50,Normal,Flying,365
273,215,75,80,2,95,False,Slowking,100,110,30,Water,Psychic,273
53,590,135,60,5,110,False,Excadrill,50,65,88,Ground,Steel,590
130,209,65,45,2,65,False,Yanma,75,45,95,Bug,Flying,209
278,327,75,75,3,50,False,Sableye,65,65,50,Dark,Ghost,327
441,361,70,50,3,50,False,Vibrava,50,50,70,Ground,Dragon,361
794,412,75,100,3,60,False,Metang,55,80,50,Steel,Psychic,794
297,215,75,80,2,95,False,Slowking,100,110,30,Water,Psychic,215
27,717,128,90,5,100,False,"Meloetta Pirouette Forme",77,77,128,Normal,Fighting,717
739,373,78,73,3,110,False,Whiscash,76,71,60,Water,Ground,373
401,312,60,60,3,60,False,Slakoth,35,35,30,Normal,,401
55,457,52,168,4,60,False,Bastiodon,47,138,30,Rock,Steel,457
22,615,90,45,5,70,False,Darumaka,15,45,50,Fire,,22
208,688,110,95,5,95,False,Bouffalant,40,95,55,Normal,,688
678,584,75,85,5,55,False,Roggenrola,25,25,15,Rock,,678
364,515,85,95,4,110,False,Lickilicky,80,95,50,Normal,,364
614,32,90,55,1,60,False,Raichu,90,80,110,Electric,,32
418,559,93,55,5,90,False,Pignite,70,55,55,Fire,Fighting,418
699,424,150,140,3,100,True,Groudon,100,90,90,Ground,,699
112,583,100,63,5,75,False,Zebstrika,80,63,116,Electric,,583
264,794,131,95,6,126,True,Yveltal,131,98,99,Dark,Flying,264
231,97,105,75,1,105,False,Muk,65,100,50,Poison,,97
542,238,50,120,2,50,False,Magcargo,80,80,30,Fire,Rock,542
447,528,165,95,4,68,False,"Mega Gallade",65,115,110,Psychic,Fighting,528
58,165,150,70,1,106,True,"Mega Mewtwo Y",194,120,140,Psychic,,165
314,417,75,150,3,80,True,Registeel,75,150,50,Steel,,314
588,43,41,40,1,38,False,Vulpix,50,65,65,Fire,,588
623,101,50,45,1,45,False,Haunter,115,55,95,Ghost,Poison,623
379,732,81,71,6,78,False,Talonflame,74,69,126,Fire,Flying,732
260,70,35,30,1,40,False,Kadabra,120,70,105,Psychic,,70
692,446,85,60,4,79,False,Bibarel,55,60,71,Normal,Water,692
140,27,60,30,1,40,False,Spearow,31,31,70,Normal,Flying,140
67,168,62,80,2,60,False,Bayleef,63,80,60,Grass,,67
164,531,80,70,4,70,False,Froslass,80,70,110,Ice,Ghost,531
785,617,30,105,5,105,False,"Darmanitan Zen Mode",140,105,55,Fire,Psychic,785
378,465,45,70,4,60,False,Pachirisu,45,90,95,Electric,,465
105,450,85,49,4,60,False,Luxio,60,49,60,Electric,,450
415,758,92,88,6,86,False,Malamar,68,75,73,Dark,Psychic,758
16,692,65,105,5,110,False,Mandibuzz,55,95,80,Dark,Flying,692
644,184,90,80,2,85,False,Crobat,70,80,130,Poison,Flying,184
626,663,100,115,5,60,False,Klinklang,70,85,90,Steel,,663
565,775,50,35,6,45,False,Goomy,55,75,40,Dragon,,565
510,296,70,70,3,80,False,Ludicolo,90,100,70,Water,Grass,296
359,546,120,100,4,150,True,"Giratina Origin Forme",120,100,90,Ghost,Dragon,546
383,629,140,65,5,75,False,Archeops,112,65,110,Rock,Flying,629
465,204,45,50,2,55,False,Skiploom,45,65,80,Grass,Flying,465
423,585,105,105,5,70,False,Boldore,50,40,20,Rock,,423
174,690,123,75,5,100,False,Braviary,57,75,80,Normal,Flying,690
374,149,60,70,1,65,False,Porygon,85,75,40,Normal,,149
420,433,68,64,4,55,False,Turtwig,45,55,31,Grass,,420
589,485,24,86,4,57,False,Bronzor,24,86,23,Steel,Psychic,589
700,617,30,105,5,105,False,"Darmanitan Zen Mode",140,105,55,Fire,Psychic,700
8,443,75,50,4,55,False,Staravia,40,40,80,Normal,Flying,8
162,437,78,52,4,64,False,Monferno,78,52,81,Fire,Fighting,437
704,266,64,50,2,50,False,Larvitar,45,50,41,Rock,Ground,704
673,431,70,160,3,50,True,"Deoxys Defense Forme",70,160,90,Psychic,,431
45,460,79,105,4,60,False,"Wormadam Sandy Cloak",59,85,36,Bug,Ground,460
590,168,62,80,2,60,False,Bayleef,63,80,60,Grass,,590
301,39,72,57,1,61,False,Nidorino,55,55,65,Poison,,301
299,643,87,63,5,75,False,Swanna,87,63,98,Water,Flying,643
120,674,147,90,5,76,False,Haxorus,60,70,97,Dragon,,674
349,409,135,80,3,95,False,Salamence,110,80,100,Dragon,Flying,409
175,228,95,75,2,65,False,Qwilfish,55,55,85,Water,Poison,228
647,760,105,115,6,72,False,Barbaracle,54,86,68,Rock,Water,647
518,127,65,95,1,55,False,Seadra,95,45,85,Water,,518
670,223,75,105,2,65,False,Gligar,35,65,85,Ground,Flying,223
179,56,55,25,1,10,False,Diglett,35,45,95,Ground,,56
96,591,60,86,5,103,False,Audino,60,86,50,Normal,,591
627,663,100,115,5,60,False,Klinklang,70,85,90,Steel,,627
568,95,70,80,1,90,False,Dewgong,70,95,70,Water,Ice,568
37,698,85,55,5,55,False,Larvesta,50,55,60,Bug,Fire,37
106,408,95,100,3,65,False,Shelgon,60,50,50,Dragon,,106
334,644,50,50,5,36,False,Vanillite,65,60,44,Ice,,334
125,741,65,48,6,66,False,Skiddo,62,57,52,Grass,,125
467,477,136,94,4,65,False,"Mega Lopunny",54,96,135,Normal,Fighting,477
415,623,58,80,5,72,False,Sigilyph,103,80,97,Psychic,Flying,623
783,498,110,70,4,70,False,Lucario,115,70,90,Fighting,Steel,783
470,5,52,43,1,39,False,Charmander,60,50,65,Fire,,5
329,246,80,140,2,65,False,Skarmory,40,70,70,Steel,Flying,246
279,262,10,10,2,255,False,Blissey,75,135,55,Normal,,279
729,176,46,34,2,35,False,Sentret,35,45,20,Normal,,729
75,104,45,160,1,35,False,Onix,30,45,70,Rock,Ground,75
237,96,80,50,1,80,False,Grimer,40,50,25,Poison,,96
566,7,84,78,1,78,False,Charizard,109,85,100,Fire,Flying,7
91,117,55,75,1,90,False,Lickitung,60,75,30,Normal,,91
204,275,85,65,3,70,False,Sceptile,105,85,120,Grass,,275
471,19,90,40,1,65,False,Beedrill,45,80,75,Bug,Poison,19
38,384,70,70,3,70,False,Castform,70,70,70,Normal,,384
404,348,90,20,3,45,False,Carvanha,65,20,65,Water,Dark,348
628,661,55,70,5,40,False,Klink,45,60,30,Steel,,628
274,401,80,90,3,110,False,Walrein,95,90,65,Ice,Water,274
217,32,90,55,1,60,False,Raichu,90,80,110,Electric,,32
341,474,80,44,4,150,False,Drifblim,90,54,80,Ghost,Flying,341
505,285,55,35,3,35,False,Poochyena,30,30,35,Dark,,505
272,280,160,80,3,80,False,"Mega Blaziken",130,80,100,Fire,Fighting,280
695,154,105,65,1,80,False,Aerodactyl,60,75,130,Rock,Flying,154
726,558,63,45,5,65,False,Tepig,45,45,45,Fire,,726
624,185,38,38,2,75,False,Chinchou,56,56,67,Water,Electric,185
26,93,110,70,1,60,False,Dodrio,60,60,100,Normal,Flying,93
781,753,52,60,6,78,False,Spritzee,63,65,23,Fairy,,781
644,386,75,35,3,44,False,Shuppet,63,33,45,Ghost,,386
309,601,53,70,5,45,False,Sewaddle,40,60,42,Bug,Grass,309
496,762,75,90,6,65,False,Dragalge,97,123,44,Poison,Dragon,496
312,503,90,110,4,70,False,Drapion,60,75,95,Poison,Dark,503
418,409,135,80,3,95,False,Salamence,110,80,100,Dragon,Flying,418
297,210,45,45,2,55,False,Wooper,25,25,15,Water,Ground,297
734,441,86,88,4,84,False,Empoleon,111,101,60,Water,Steel,441
40,715,72,90,5,91,False,"Keldeo Resolute Forme",129,90,108,Water,Fighting,715
7,328,85,125,3,50,False,"Mega Sableye",85,115,20,Dark,Ghost,7
263,58,45,35,1,40,False,Meowth,40,40,90,Normal,,263
372,426,150,90,3,105,True,Rayquaza,150,90,95,Dragon,Flying,426
74,393,130,60,3,65,False,Absol,75,60,75,Dark,,393
64,425,180,160,3,100,True,"Primal Groudon",150,90,90,Ground,Fire,425
62,127,65,95,1,55,False,Seadra,95,45,85,Water,,127
259,99,95,180,1,50,False,Cloyster,85,45,70,Water,Ice,259
57,626,78,103,5,54,False,Tirtouga,53,45,22,Water,Rock,626
198,50,65,70,1,60,False,Gloom,85,75,40,Grass,Poison,198
580,464,80,102,4,70,False,Vespiquen,80,102,40,Bug,Flying,580
504,499,145,88,4,70,False,"Mega Lucario",140,70,112,Fighting,Steel,499
666,91,65,55,1,52,False,Farfetch'd,58,62,60,Normal,Flying,91
112,737,68,72,6,86,False,Pyroar,109,66,106,Fire,Normal,737
386,494,130,95,4,108,False,Garchomp,80,85,102,Dragon,Ground,494
753,588,57,55,5,67,False,Swoobat,77,55,114,Psychic,Flying,588
89,110,50,70,1,60,False,Electrode,80,80,140,Electric,,110
338,465,45,70,4,60,False,Pachirisu,45,90,95,Electric,,465
777,726,63,52,6,54,False,Frogadier,83,56,97,Water,,726
462,628,112,45,5,55,False,Archen,74,45,70,Rock,Flying,628
20,50,65,70,1,60,False,Gloom,85,75,40,Grass,Poison,20
202,326,65,65,3,70,False,Delcatty,55,55,70,Normal,,326
162,23,80,75,1,83,False,Pidgeot,70,70,101,Normal,Flying,23
149,133,110,80,1,70,False,Scyther,55,80,105,Bug,Flying,133
349,251,60,60,2,90,False,Phanpy,40,40,40,Ground,,349
768,39,72,57,1,61,False,Nidorino,55,55,65,Poison,,768
521,738,38,39,6,44,False,Flabébé,61,79,42,Fairy,,521
353,213,65,110,2,95,False,Umbreon,60,130,65,Dark,,213
297,255,20,35,2,55,False,Smeargle,20,45,75,Normal,,255
333,340,75,80,3,70,False,"Mega Manectric",135,80,135,Electric,,340
450,119,90,120,1,65,False,Weezing,85,70,60,Poison,,119
470,351,70,35,3,130,False,Wailmer,70,35,60,Water,,351
594,634,50,40,5,55,False,Minccino,40,40,75,Normal,,594
451,2,62,63,1,60,False,Ivysaur,80,80,60,Grass,Poison,451
6,299,100,60,3,90,False,Shiftry,90,60,80,Grass,Dark,299
13,642,44,50,5,62,False,Ducklett,44,50,55,Water,Flying,13
603,742,100,62,6,123,False,Gogoat,97,81,68,Grass,,603
570,258,30,15,2,45,False,Smoochum,85,65,65,Ice,Psychic,570
121,631,95,82,5,80,False,Garbodor,60,82,75,Poison,,121
438,358,45,65,3,80,False,Grumpig,90,110,80,Psychic,,438
242,685,124,80,5,89,False,Golurk,55,80,55,Ground,Ghost,685
331,82,95,115,1,55,False,Graveler,45,45,35,Rock,Ground,82
306,563,100,85,5,95,False,Samurott,108,70,70,Water,,306
223,665,85,70,5,65,False,Eelektrik,75,70,40,Electric,,223
548,480,55,42,4,49,False,Glameow,42,37,85,Normal,,480
339,217,72,48,2,48,False,Unown,72,48,48,Psychic,,339
742,505,106,65,4,83,False,Toxicroak,86,65,85,Poison,Fighting,505
336,733,35,40,6,38,False,Scatterbug,27,25,35,Bug,,336
212,586,135,130,5,85,False,Gigalith,60,80,25,Rock,,586
53,599,100,85,5,120,False,Throh,30,85,45,Fighting,,599
257,96,80,50,1,80,False,Grimer,40,50,25,Poison,,257
397,110,50,70,1,60,False,Electrode,80,80,140,Electric,,110
505,794,131,95,6,126,True,Yveltal,131,98,99,Dark,Flying,794
118,735,52,50,6,80,False,Vivillon,90,50,89,Bug,Flying,735
41,80,70,65,1,80,False,Tentacruel,80,120,100,Water,Poison,80
314,132,45,65,1,40,False,"Mr. Mime",100,120,90,Psychic,Fairy,314
532,130,45,55,1,30,False,Staryu,70,55,85,Water,,130
295,272,100,100,2,100,False,Celebi,100,100,100,Psychic,Grass,272
453,366,70,90,3,75,False,Altaria,70,105,80,Dragon,Flying,453
289,767,89,77,6,58,False,Tyrunt,45,45,48,Rock,Dragon,767
437,791,30,35,6,40,False,Noibat,45,40,55,Flying,Dragon,437
411,92,85,45,1,35,False,Doduo,35,35,75,Normal,Flying,92
570,114,80,110,1,60,False,Marowak,50,80,45,Ground,,570
781,373,78,73,3,110,False,Whiscash,76,71,60,Water,Ground,373
163,566,60,45,5,45,False,Lillipup,25,45,55,Normal,,163
685,24,80,80,1,83,False,"Mega Pidgeot",135,80,121,Normal,Flying,24
133,567,80,65,5,65,False,Herdier,35,65,60,Normal,,133
83,452,30,35,4,40,False,Budew,50,70,55,Grass,Poison,452
573,568,110,90,5,85,False,Stoutland,45,90,80,Normal,,568
257,111,40,80,1,60,False,Exeggcute,60,45,40,Grass,Psychic,257
435,186,58,58,2,125,False,Lanturn,76,76,67,Water,Electric,186
359,18,25,50,1,45,False,Kakuna,25,25,35,Bug,Poison,359
786,671,55,90,5,60,False,Chandelure,145,90,80,Ghost,Fire,786
332,449,65,34,4,45,False,Shinx,40,34,45,Electric,,449
53,687,125,100,5,65,False,Bisharp,60,70,70,Dark,Steel,687
169,240,100,80,2,100,False,Piloswine,60,60,50,Ice,Ground,169
785,796,100,150,6,50,True,Diancie,100,150,50,Rock,Fairy,785
550,199,20,50,2,70,False,Marill,20,50,40,Water,Fairy,550
365,362,100,80,3,80,False,Flygon,80,80,100,Ground,Dragon,362
553,718,120,95,5,71,False,Genesect,120,95,99,Bug,Steel,553
601,393,130,60,3,65,False,Absol,75,60,75,Dark,,393
430,684,74,50,5,59,False,Golett,35,50,35,Ground,Ghost,684
156,13,103,120,1,79,False,"Mega Blastoise",135,115,78,Water,,13
221,467,105,55,4,85,False,Floatzel,85,50,115,Water,,467
446,644,50,50,5,36,False,Vanillite,65,60,44,Ice,,446
47,81,80,100,1,40,False,Geodude,30,30,20,Rock,Ground,47
416,527,125,65,4,68,False,Gallade,65,115,80,Psychic,Fighting,527
762,785,90,122,6,65,False,"Gourgeist Average Size",58,75,84,Ghost,Grass,785
571,225,125,230,2,75,False,"Mega Steelix",55,95,30,Steel,Ground,225
180,569,50,37,5,41,False,Purrloin,50,37,66,Dark,,569
697,464,80,102,4,70,False,Vespiquen,80,102,40,Bug,Flying,697
368,7,84,78,1,78,False,Charizard,109,85,100,Fire,Flying,7
554,37,92,87,1,90,False,Nidoqueen,75,85,76,Poison,Ground,554
366,410,145,130,3,95,False,"Mega Salamence",120,90,120,Dragon,Flying,410
597,725,56,40,6,41,False,Froakie,62,44,71,Water,,725
389,411,55,80,3,40,False,Beldum,35,60,30,Steel,Psychic,411
540,390,70,130,3,40,False,Dusclops,60,130,25,Ghost,,540
359,383,60,79,3,95,False,Milotic,100,125,81,Water,,383
785,81,80,100,1,40,False,Geodude,30,30,20,Rock,Ground,785
232,26,81,60,1,55,False,Raticate,50,70,97,Normal,,26
644,25,56,35,1,30,False,Rattata,25,35,72,Normal,,25
117,744,124,78,6,95,False,Pangoro,69,71,58,Fighting,Dark,744
150,28,90,65,1,65,False,Fearow,61,61,100,Normal,Flying,28
571,537,65,107,4,50,False,"Mow Rotom",105,107,86,Electric,Grass,537
615,706,105,70,5,79,True,"Thundurus Therian Forme",145,80,101,Electric,Flying,706
516,736,50,58,6,62,False,Litleo,73,54,72,Fire,Normal,516
230,458,29,45,4,40,False,Burmy,29,45,36,Bug,,230
292,201,100,115,2,70,False,Sudowoodo,30,65,30,Rock,,201
190,384,70,70,3,70,False,Castform,70,70,70,Normal,,384
583,730,50,43,6,45,False,Fletchling,40,38,62,Normal,Flying,583
683,347,73,83,3,100,False,Swalot,73,83,55,Poison,,347
344,562,75,60,5,75,False,Dewott,83,60,60,Water,,344
49,249,90,90,2,75,False,"Mega Houndoom",140,90,115,Dark,Fire,249
795,234,95,55,2,55,False,Sneasel,35,75,115,Dark,Ice,234
673,515,85,95,4,110,False,Lickilicky,80,95,50,Normal,,673
190,755,48,66,6,62,False,Swirlix,59,57,49,Fairy,,755
639,45,45,20,1,115,False,Jigglypuff,45,25,20,Normal,Fairy,45
208,333,110,180,3,70,False,Aggron,60,60,50,Steel,Rock,333
273,39,72,57,1,61,False,Nidorino,55,55,65,Poison,,273
177,744,124,78,6,95,False,Pangoro,69,71,58,Fighting,Dark,177
544,192,50,45,2,40,False,Natu,70,45,70,Psychic,Flying,544
11,80,70,65,1,80,False,Tentacruel,80,120,100,Water,Poison,80
280,24,80,80,1,83,False,"Mega Pidgeot",135,80,121,Normal,Flying,24
355,625,50,145,5,58,False,Cofagrigus,95,105,30,Ghost,,625
264,693,97,66,5,85,False,Heatmor,105,66,65,Fire,,264
238,310,40,60,3,60,False,Shroomish,40,60,35,Grass,,310
391,667,55,55,5,55,False,Elgyem,85,55,30,Psychic,,391
596,682,125,60,5,65,False,Mienshao,95,60,105,Fighting,,682
559,85,100,70,1,65,False,Rapidash,80,80,105,Fire,,85
37,248,90,50,2,75,False,Houndoom,110,80,95,Dark,Fire,248
89,657,47,50,5,50,False,Joltik,57,50,65,Bug,Electric,657
608,98,65,100,1,30,False,Shellder,45,25,40,Water,,608
107,155,135,85,1,80,False,"Mega Aerodactyl",70,95,150,Rock,Flying,155
299,254,95,62,2,73,False,Stantler,85,65,85,Normal,,254
355,525,130,80,4,110,False,Mamoswine,70,60,80,Ice,Ground,525
645,474,80,44,4,150,False,Drifblim,90,54,80,Ghost,Flying,474
331,619,65,85,5,50,False,Dwebble,35,35,55,Bug,Rock,619
226,423,150,90,3,100,True,"Primal Kyogre",180,160,90,Water,,423
746,400,60,70,3,90,False,Sealeo,75,70,45,Ice,Water,746
134,286,90,70,3,70,False,Mightyena,60,60,70,Dark,,134
31,427,180,100,3,105,True,"Mega Rayquaza",180,100,115,Dragon,Flying,427
16,411,55,80,3,40,False,Beldum,35,60,30,Steel,Psychic,16
602,364,115,60,3,70,False,Cacturne,115,60,55,Grass,Dark,364
367,458,29,45,4,40,False,Burmy,29,45,36,Bug,,367
715,385,90,70,3,60,False,Kecleon,60,120,40,Normal,,715
200,45,45,20,1,115,False,Jigglypuff,45,25,20,Normal,Fairy,200
490,752,50,150,6,60,False,"Aegislash Shield Forme",50,150,60,Steel,Ghost,490
574,489,5,5,4,100,False,Happiny,15,65,30,Normal,,574
383,359,60,60,3,60,False,Spinda,60,60,60,Normal,,383
428,353,60,40,3,60,False,Numel,65,45,35,Fire,Ground,428
380,404,84,105,3,55,False,Gorebyss,114,75,52,Water,,380
272,698,85,55,5,55,False,Larvesta,50,55,60,Bug,Fire,272
37,601,53,70,5,45,False,Sewaddle,40,60,42,Bug,Grass,37
701,301,85,60,3,60,False,Swellow,50,50,125,Normal,Flying,301
754,334,140,230,3,70,False,"Mega Aggron",60,80,50,Steel,,334
553,633,105,60,5,60,False,Zoroark,120,60,105,Dark,,553
348,450,85,49,4,60,False,Luxio,60,49,60,Electric,,348
502,485,24,86,4,57,False,Bronzor,24,86,23,Steel,Psychic,485
673,493,90,65,4,68,False,Gabite,50,55,82,Dragon,Ground,493
8,243,105,75,2,75,False,Octillery,105,75,45,Water,,8
567,463,30,42,4,30,False,Combee,30,42,70,Bug,Flying,463
564,352,90,45,3,170,False,Wailord,90,45,60,Water,,352
611,248,90,50,2,75,False,Houndoom,110,80,95,Dark,Fire,611
619,388,165,75,3,64,False,"Mega Banette",93,83,75,Ghost,,388
707,637,45,70,5,60,False,Gothorita,75,85,55,Psychic,,707
38,388,165,75,3,64,False,"Mega Banette",93,83,75,Ghost,,388
340,114,80,110,1,60,False,Marowak,50,80,45,Ground,,114
560,406,30,55,3,43,False,Luvdisc,40,65,97,Water,,406
232,579,55,50,5,50,False,Pidove,36,30,43,Normal,Flying,232
62,500,72,78,4,68,False,Hippopotas,38,42,32,Ground,,62
194,577,25,45,5,76,False,Munna,67,55,24,Psychic,,194
124,512,132,105,4,90,False,"Mega Abomasnow",132,105,30,Grass,Ice,124
500,147,65,60,1,65,False,Jolteon,110,95,130,Electric,,500
329,173,65,64,2,50,False,Totodile,44,48,43,Water,,329
151,678,40,85,5,50,False,Shelmet,40,65,25,Bug,,151
633,576,98,63,5,75,False,Simipour,98,63,101,Water,,633
226,52,70,55,1,35,False,Paras,45,55,25,Bug,Grass,226
629,631,95,82,5,80,False,Garbodor,60,82,75,Poison,,629
73,141,125,79,1,95,False,Gyarados,60,100,81,Water,Flying,141
402,396,50,50,3,50,False,Snorunt,50,50,50,Ice,,396
252,373,78,73,3,110,False,Whiscash,76,71,60,Water,Ground,373
702,733,35,40,6,38,False,Scatterbug,27,25,35,Bug,,702
683,207,30,30,2,30,False,Sunkern,30,30,30,Grass,,683
764,748,48,76,6,74,False,"Meowstic Female",83,81,104,Psychic,,748
76,376,40,55,3,40,False,Baltoy,40,70,55,Ground,Psychic,376
208,769,59,50,6,77,False,Amaura,67,63,46,Rock,Ice,769
281,64,70,45,1,55,False,Growlithe,70,50,60,Fire,,64
580,637,45,70,5,60,False,Gothorita,75,85,55,Psychic,,580
686,659,50,91,5,44,False,Ferroseed,24,86,10,Grass,Steel,686
264,16,45,50,1,60,False,Butterfree,90,80,70,Bug,Flying,264
291,648,100,70,5,80,False,Sawsbuck,60,70,95,Normal,Grass,648
463,627,108,133,5,74,False,Carracosta,83,65,32,Water,Rock,627
501,485,24,86,4,57,False,Bronzor,24,86,23,Steel,Psychic,501
99,486,89,116,4,67,False,Bronzong,79,116,33,Steel,Psychic,99
24,186,58,58,2,125,False,Lanturn,76,76,67,Water,Electric,24
410,267,84,70,2,70,False,Pupitar,65,70,51,Rock,Ground,410
125,218,33,58,2,190,False,Wobbuffet,33,58,33,Psychic,,125
558,521,76,86,4,86,False,Yanmega,116,56,95,Bug,Flying,521
383,184,90,80,2,85,False,Crobat,70,80,130,Poison,Flying,184
200,2,62,63,1,60,False,Ivysaur,80,80,60,Grass,Poison,2
671,611,92,65,5,70,False,Basculin,80,55,98,Water,,611
567,526,80,70,4,85,False,Porygon-Z,135,75,90,Normal,,526
561,646,95,85,5,71,False,Vanilluxe,110,95,79,Ice,,646
204,323,20,40,3,50,False,Azurill,20,40,20,Normal,Fairy,204
219,554,100,100,5,100,True,Victini,100,100,100,Psychic,Fire,554
417,604,45,59,5,30,False,Venipede,30,39,57,Bug,Poison,604
695,712,170,100,5,125,True,"Kyurem Black Kyurem",120,90,95,Dragon,Ice,712
719,257,95,95,2,50,False,Hitmontop,35,110,70,Fighting,,257
736,155,135,85,1,80,False,"Mega Aerodactyl",70,95,150,Rock,Flying,155
699,314,160,100,3,150,False,Slaking,95,65,100,Normal,,314
639,627,108,133,5,74,False,Carracosta,83,65,32,Water,Rock,627
43,291,70,50,3,60,False,Beautifly,100,50,65,Bug,Flying,291
37,100,35,30,1,30,False,Gastly,100,35,80,Ghost,Poison,100
297,372,48,43,3,50,False,Barboach,46,41,60,Water,Ground,372
159,617,30,105,5,105,False,"Darmanitan Zen Mode",140,105,55,Fire,Psychic,159
175,635,95,60,5,75,False,Cinccino,65,60,115,Normal,,635
267,502,50,90,4,40,False,Skorupi,30,55,65,Poison,Bug,502
542,349,120,40,3,70,False,Sharpedo,95,40,95,Water,Dark,542
24,735,52,50,6,80,False,Vivillon,90,50,89,Bug,Flying,24
429,69,20,15,1,25,False,Abra,105,55,90,Psychic,,429
674,791,30,35,6,40,False,Noibat,45,40,55,Flying,Dragon,674
255,779,70,48,6,43,False,Phantump,50,60,38,Ghost,Grass,779
331,303,50,100,3,60,False,Pelipper,85,70,65,Water,Flying,303
426,370,55,65,3,70,False,Lunatone,95,85,70,Rock,Psychic,426
130,748,48,76,6,74,False,"Meowstic Female",83,81,104,Psychic,,748
